checkpoint_name,update_number,elo_rating,games_played
br_ppo_100.pt,100,689.9,153
br_ppo_700.pt,700,628.2,151
br_ppo_1300.pt,1300,636.3,160
br_ppo_1900.pt,1900,589.0,169
br_ppo_2500.pt,2500,746.0,145
br_ppo_3100.pt,3100,808.4,155
br_ppo_3700.pt,3700,839.9,156
br_ppo_4300.pt,4300,897.8,149
br_ppo_4900.pt,4900,924.9,159
br_ppo_5500.pt,5500,971.3,151
br_ppo_6100.pt,6100,970.6,164
br_ppo_6700.pt,6700,989.1,173
br_ppo_7300.pt,7300,959.7,141
br_ppo_7900.pt,7900,931.0,171
br_ppo_8500.pt,8500,1087.2,166
br_ppo_9100.pt,9100,1013.1,152
br_ppo_9700.pt,9700,1039.3,160
br_ppo_10300.pt,10300,951.7,148
br_ppo_10900.pt,10900,1013.1,177
br_ppo_11500.pt,11500,975.7,139
br_ppo_12100.pt,12100,1089.8,165
br_ppo_12700.pt,12700,1107.3,168
br_ppo_13300.pt,13300,1033.6,137
br_ppo_13900.pt,13900,1073.6,152
br_ppo_14500.pt,14500,1083.5,163
br_ppo_15100.pt,15100,1081.6,165
br_ppo_15700.pt,15700,1106.3,159
br_ppo_16300.pt,16300,1197.7,176
br_ppo_16900.pt,16900,1222.5,143
br_ppo_17500.pt,17500,1164.2,167
br_ppo_18100.pt,18100,1204.4,149
br_ppo_18700.pt,18700,1101.9,181
br_ppo_19300.pt,19300,1178.8,164
br_ppo_19900.pt,19900,1138.4,152
br_ppo_20500.pt,20500,1157.9,150
br_ppo_21100.pt,21100,1106.9,166
br_ppo_21700.pt,21700,1134.1,146
br_ppo_21800.pt,21800,1155.0,158
